feature,family,literature_anchor,source_columns,goal,formula,mean_benign_train,mean_malignant_train,std_diff_train,abs_std_diff_train,skew_train,outlier_rate_pct_train,max_abs_corr_with_base_train,feature_std_train,novelty_score,screen_pass_v2,screen_reason_v2,decision_v2,decision_reason_v2,max_abs_corr_with_selected_train,most_similar_selected_feature,target_corr,abs_target_corr,selected_v2,top_peer,max_abs_corr_with_final_numeric_train,top_peer_abs_target_corr,top_peer_is_engineered,vif_with_v2_numeric,decision_v3,decision_reason_v3,selected_v3
feat_diameter_color_coupling,geometry,Diameter x color,"clin_size_long_diam_mm, tbp_lv_norm_color",크기와 색 불균일을 함께 반영,long_diam * norm_color,13.824113,37.430867,0.798178,0.798178,3.377653,7.411133,0.843327,15.213237,0.125053,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.739477,feat_border_color_interaction,0.048133713508957544,0.048133713508957544,True,tbp_lv_color_std_mean,0.926579,0.016583,False,935.2737251213817,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_area_eccentricity_coupling,geometry,Size x eccentricity,"tbp_lv_areaMM2, tbp_lv_eccentricity",큰 병변이면서 길쭉한 형태를 함께 반영,areaMM2 * eccentricity,6.163506,16.149328,0.662297,0.662297,6.312781,9.419801,0.965022,7.181008,0.023166,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.831219,feat_diameter_color_coupling,0.043135333975451745,0.043135333975451745,True,clin_size_long_diam_mm,0.973051,0.023999,False,468.3823979414422,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_age_size_interaction,context,Age-context proxy,"age_approx, clin_size_long_diam_mm",연령과 장축 크기를 함께 반영,age_approx * long_diam,224.128833,358.490556,0.662809,0.662809,2.737816,6.129452,0.868153,115.487288,0.087389,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.707549,feat_diameter_color_coupling,0.036089106597710106,0.036089106597710106,True,clin_size_long_diam_mm,0.801722,0.023999,False,5661.9116884712685,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_vertical_size_interaction,spatial,SLICE-3D spatial proxy,"tbp_lv_y, clin_size_long_diam_mm",세로 위치와 크기를 함께 반영,|y| * long_diam,4094.824829,6540.925475,0.602365,0.602365,1.820043,4.574527,0.739252,2506.315363,0.157065,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.46621,feat_border_color_interaction,0.030274247610156325,0.030274247610156325,True,tbp_lv_y,0.81954,0.009762,False,10.605309247288567,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_hue_color_coupling,color,ABCD color x CASH homogeneity,"tbp_lv_H, tbp_lv_Hext, tbp_lv_norm_color",hue 차이와 색 불균일을 동시에 반영,hue_gap * norm_color,23.189072,48.058087,0.665823,0.665823,3.081241,6.823622,0.81207,27.551821,0.125128,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.451792,feat_architecture_proxy_sum,0.027999033407492765,0.027999033407492765,True,tbp_lv_color_std_mean,0.891835,0.016583,False,77.19104245263176,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_border_color_interaction,architecture,ABCD border x color,"tbp_lv_norm_border, tbp_lv_norm_color",경계 불규칙성과 색 불균일을 함께 반영,norm_border * norm_color,9.834775,17.648866,0.568401,0.568401,2.779818,7.280218,0.691244,9.056648,0.175497,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.902834,feat_architecture_proxy_sum,0.02676367226438557,0.02676367226438557,True,feat_diameter_color_coupling,0.891074,0.015271,True,426.2530194964639,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_chroma_normalized_gap,color,ABCD color,"tbp_lv_C, tbp_lv_Cext",채도 차이를 크기 보정된 비율로 표현,(C-Cext) / (C+Cext),0.058435,0.02813,-0.532931,0.532931,-0.549533,3.374891,0.768421,0.036819,0.123416,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.193513,feat_architecture_proxy_sum,-0.02553100398584202,0.02553100398584202,True,tbp_lv_deltaB,0.768421,0.036616,False,146.60278406079607,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_architecture_proxy_sum,architecture,ABCD / CASH proxy,"tbp_lv_symm_2axis, tbp_lv_norm_border, tbp_lv_norm_color",비대칭-경계-색 축을 합산한 간단한 구조 점수,symm_2axis + norm_border + norm_color,6.830407,8.799782,0.604853,0.604853,1.280534,3.811155,0.670506,2.416013,0.199295,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.148881,feat_contrast_to_color_variation,0.025285055546523338,0.025285055546523338,True,feat_border_color_interaction,0.765294,0.007599,True,4941.169639648299,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_color_variation_total,color,CASH homogeneity,"tbp_lv_color_std_mean, tbp_lv_radial_color_std_max, tbp_lv_stdL, tbp_lv_stdLExt",색과 명도의 이질성을 한 축으로 합산,color_std_mean + radial_color_std_max + stdL + stdLExt,7.023145,9.527265,0.59135,0.59135,1.392694,3.309968,0.928616,3.123746,0.042213,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.821037,feat_hue_color_coupling,0.024866476997634876,0.024866476997634876,True,tbp_lv_stdL,0.917007,0.009696,False,181.61028580389333,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_border_contrast_interaction,architecture,ABCD border x color contrast,"tbp_lv_norm_border, tbp_lv_deltaL, tbp_lv_deltaA, tbp_lv_deltaB",경계 불규칙성과 색차 강도를 함께 반영,norm_border * contrast_euclidean,33.494845,44.21929,0.49855,0.49855,1.76668,4.28523,0.718368,14.95176,0.140408,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.893203,feat_symmetry_contrast_interaction,0.02224934621030066,0.02224934621030066,True,feat_symmetry_contrast_interaction,0.907721,0.011405,True,5900.854523555426,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_hue_circular_gap,color,DermNet color variety,"tbp_lv_H, tbp_lv_Hext",내부와 외부의 hue 차이를 원형 축에서 계산,"circular_abs_diff(H, Hext)",6.325654,8.618829,0.528053,0.528053,2.021065,3.254677,0.792969,3.835003,0.109323,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.826382,feat_hue_color_coupling,0.018548384675153785,0.018548384675153785,True,feat_red_green_normalized_gap,0.756614,0.009531,True,26.176201424523192,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_diameter_symmetry_coupling,geometry,Diameter x asymmetry,"clin_size_long_diam_mm, tbp_lv_symm_2axis",크기와 비대칭성을 함께 반영,long_diam * symm_2axis,1.20739,1.688306,0.430365,0.430365,2.911146,6.560009,0.845597,0.808352,0.06645,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.740907,feat_border_contrast_interaction,0.01845456580462599,0.01845456580462599,True,tbp_lv_area_perim_ratio,0.873136,0.007997,False,267.3950856545627,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_age_contrast_interaction,context,Age-context proxy,"age_approx, tbp_lv_deltaL, tbp_lv_deltaA, tbp_lv_deltaB",연령과 색차 강도를 함께 반영,age_approx * contrast_euclidean,600.023371,742.644465,0.520865,0.520865,1.447275,2.920791,0.768004,248.435053,0.120839,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.625367,feat_hue_color_coupling,0.017807610399995673,0.017807610399995673,True,tbp_lv_deltaLB,0.757649,0.009741,False,4872.293256327321,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_contrast_to_color_variation,color,CASH color-homogeneity,"tbp_lv_deltaL, tbp_lv_deltaA, tbp_lv_deltaB, tbp_lv_color_std_mean",색차 강도를 병변 내부 색 분산으로 다시 스케일링,contrast_euclidean / color_std_mean,494616.247457,1574172.264836,0.388261,0.388261,3.985952,10.699342,0.384345,1947272.475284,0.239035,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.02059,feat_xz_radius,0.01719702053844473,0.01719702053844473,True,feat_border_to_color_ratio,0.991885,0.015216,True,2329.351614621759,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_perimeter_to_long_ratio,geometry,Border length / diameter,"tbp_lv_perimeterMM, clin_size_long_diam_mm",둘레가 장축 대비 얼마나 큰지 확인,perimeterMM / long_diam,2.993739,3.15459,0.449581,0.449581,1.007275,2.11818,0.618236,0.312273,0.171634,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.372557,feat_architecture_proxy_sum,0.015978054216094557,0.015978054216094557,True,feat_long_to_minor_ratio,0.70793,0.00631,True,1239.4637734868281,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_long_minor_difference,geometry,Diameter spread,"clin_size_long_diam_mm, tbp_lv_minorAxisMM",장축과 단축 차이,long_diam - minorAxisMM,1.389932,1.872577,0.346411,0.346411,2.522815,5.284035,0.775097,0.949529,0.077909,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.690772,feat_age_size_interaction,0.015767205014600404,0.015767205014600404,True,clin_size_long_diam_mm,0.744381,0.023999,False,45.4863603426971,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_symmetry_contrast_interaction,architecture,ABCD asymmetry x color contrast,"tbp_lv_symm_2axis, tbp_lv_deltaL, tbp_lv_deltaA, tbp_lv_deltaB",비대칭성과 색차 강도를 함께 반영,symm_2axis * contrast_euclidean,3.021428,3.518659,0.357435,0.357435,1.326152,2.816987,0.591524,1.139234,0.146004,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.565867,feat_architecture_proxy_sum,0.01353879460177776,0.01353879460177776,True,feat_border_contrast_interaction,0.907721,0.016094,True,260.28560186629477,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_color_to_border_ratio,architecture,ABCD color vs border balance,"tbp_lv_norm_border, tbp_lv_norm_color",색 불균일성이 경계 불규칙성보다 상대적으로 큰지 확인,norm_color / norm_border,1.22035,1.681742,0.318923,0.318923,1.917882,4.928746,0.812365,1.125146,0.059841,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.760776,feat_hue_color_coupling,0.012720259327110687,0.012720259327110687,True,tbp_lv_color_std_mean,0.840064,0.016583,False,6544.0104646740265,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_nevi_border_interaction,context,Nevus-confidence context,"tbp_lv_nevi_confidence, tbp_lv_norm_border",모반 신뢰도와 경계 불규칙성을 결합,nevi_confidence * norm_border,92.997983,53.291062,-0.409847,0.409847,1.270583,0.874311,0.860613,106.340348,0.057127,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.333611,feat_color_to_border_ratio,-0.01158251547161312,0.01158251547161312,True,tbp_lv_nevi_confidence,0.871433,0.01233,False,5.6268719787887145,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_border_to_color_ratio,architecture,ABCD border vs color balance,"tbp_lv_norm_border, tbp_lv_norm_color",경계 불규칙성이 색 불균일보다 상대적으로 큰지 확인,norm_border / norm_color,325427.708389,777637.826952,0.300608,0.300608,4.081228,12.268893,0.379939,1295083.972151,0.186395,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.914593,feat_contrast_to_color_variation,0.010831213082250908,0.010831213082250908,True,feat_contrast_to_color_variation,0.991885,0.014725,True,2496.6953660884956,drop_overlap_with_kept,"corr with kept feat_contrast_to_color_variation=0.992, and kept peer has >= target corr",False
feat_xz_radius,spatial,SLICE-3D spatial proxy,"tbp_lv_x, tbp_lv_z",x-z 평면 반경,sqrt(x^2 + z^2),202.966073,173.462648,-0.312706,0.312706,0.943504,4.701518,0.191736,93.672,0.252749,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,,,-0.009770063896269762,0.009770063896269762,True,feat_vertical_size_interaction,0.200213,0.014887,True,1.1387853045652467,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_red_green_normalized_gap,color,ABCD color,"tbp_lv_A, tbp_lv_Aext",A축(적-녹) 차이를 안정적인 정규화 비율로 표현,(A-Aext) / (|A|+|Aext|),0.14832,0.125802,-0.276852,0.276852,0.918202,2.804502,0.888363,0.073291,0.030907,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.794024,feat_hue_circular_gap,-0.009530502869744679,0.009530502869744679,True,tbp_lv_deltaA,0.888363,2.2e-05,False,393.6578153607778,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
feat_long_to_minor_ratio,geometry,ABCD diameter / geometry,"clin_size_long_diam_mm, tbp_lv_minorAxisMM",장축 대비 단축 비율,long_diam / minorAxisMM,1.612362,1.533845,-0.208185,0.208185,1.129145,2.442435,0.842312,0.395361,0.032828,True,pass,selected_v2,screen_pass + family balance + low overlap with already selected,0.667937,feat_perimeter_to_long_ratio,-0.006160296769566248,0.006160296769566248,True,tbp_lv_eccentricity,0.879498,0.00588,False,286.3947899636504,selected_v3,keep: no stronger overlapping peer under VIF/corr rule,True
